country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,345.20283326278224,347.5622450011239,333.9673785296316,370.3739271173158,378.8285571542582,396.5509487754482,431.10121738186103,423.12346838879006,452.1930923408419,456.30022084968823,452.57014406020113,460.98949878496273,467.6409748306898,467.8798853763139,459.2429066139161,456.7447762002613,493.76910495604284,501.6954854693882,509.42839468235985,515.7031535897976,522.8454178676608,529.840968897263,536.6942811881244,543.4096492904471,549.9911965946793,556.4428835007631
中国,857.733214936093,842.1529476037379,879.1940865553587,901.2700183484621,903.6588050382642,928.7165948587771,973.0764234792124,986.1612732613095,1018.5228251051886,1056.7662536002695,1080.209220411823,1099.641640545199,1113.0722926256453,1171.1732965771153,1173.411177385084,1184.9752867383247,1217.0120942618603,1241.5381326064662,1266.3594281154058,1283.3674443390555,1305.337834417959,1327.090858291206,1348.629725880718,1369.9575842153038,1391.0775189635046,1411.99255592184
印度,343.7547921897672,373.92098537566903,359.00266423293283,371.6327851595164,383.8572444289213,403.47343406088225,415.8868299763534,397.09562681665864,421.31675967061716,441.3027097954238,447.01570266270403,457.68319152083563,464.4339105994244,435.33449877953996,441.95604814007464,461.93052874677096,475.10596318682514,481.7149525302267,488.2631921190931,491.93106970436713,497.57337996435416,503.08804784485733,508.4793563278127,513.7513986956598,518.9080893114017,523.9531730334292
印度尼西亚,467.31775485220163,492.79881212201883,507.39610100223985,506.2728942256945,508.05623039139607,519.5590620194491,553.1275948721033,577.4101088929079,578.089852851833,573.6776782622085,597.6968203398418,591.610974888473,586.7156922829545,601.2289161840379,615.6091626809649,631.3039635052321,637.4768378332504,646.3970587847915,655.2699984750001,660.8225600466922,668.399109965648,675.8103401626693,683.0616027981819,690.1580214522825,697.1045042273405,703.9057526355086
以色列,734.538760882666,720.3958537942106,764.9934060688286,741.449383262754,701.6024202916296,719.9733051747224,654.3037043518274,675.0499731971946,640.13670428427,641.747103462791,654.2300246885874,641.9261823260847,639.0798205991168,562.1194922868642,567.0595625735033,539.3530577197085,565.9273821837221,557.1602075741619,548.7469866520751,536.9506036876661,528.4976358335288,520.3030515928544,512.3551822084171,504.6430511268737,497.1563235250649,489.8852596851017
泰国,1051.002697541373,1097.3296597502188,1103.232996775649,1053.477418105054,1129.0583534893035,1248.6537815928614,1188.2925353958658,1264.151869557475,1187.7593298639863,1224.803461802902,1341.2342219585842,1308.0655292489255,1248.9184376555174,1193.7559914167105,1159.1428837669478,1265.8356323495018,1303.4393593529064,1318.7499919199092,1334.3573826034672,1335.5159344822416,1347.1537498684825,1358.693142891858,1370.1353571283917,1381.4816148766045,1392.7331181591385,1403.8910490055355
英国,699.0519563007615,654.2922640621871,656.277747337508,636.1729461917761,616.384097442881,572.45485731819,652.8806101350494,615.7139212296529,600.7563637075896,612.3972744197902,549.3073319946839,576.7574357322318,650.3821193301277,583.6708942248042,536.881829157333,563.3267537589685,557.6322372581176,552.3710074144899,547.2540311013404,538.8091667221877,533.1212008459272,527.5105397431277,521.9756179438396,516.5149119598675,511.1269393124785,505.81025633023853
德国,1015.4051514279984,949.1403475482485,1133.7879667128675,1055.7068049031652,1005.79863763172,1006.0852459857983,1124.3035456360524,1133.4896441346075,1036.848141953454,1048.934489567917,1087.8182273275518,1099.194734766379,1184.767109395665,907.8375492650339,872.7723342539824,878.3398735115624,978.175966153909,971.2110693627532,964.7773144480308,965.1995615769227,959.3944450472129,953.5958367301505,947.8037259302891,942.0181014897609,936.2389527617797,930.4662686375466
法国,1930.734713584578,1641.9841467473761,1925.692519349331,1775.2253049078624,1694.0662933410667,1645.250566110563,1810.4830608229997,1804.0191697473963,1711.1514710509473,1692.0176404312888,1701.199640854131,1695.2471303542197,1803.2531937715596,1569.1604439715106,1270.9817876011793,1416.258805001229,1498.5476590867063,1477.9924897579,1457.7469073737036,1431.244854807765,1409.9524331466437,1388.8567399732358,1367.9550610595027,1347.2447324663694,1326.723138218076,1306.3877103889731
俄罗斯,977.9581076699643,874.785364570792,942.5416963360054,947.3511328892253,955.196898215885,979.8289264683917,1183.8032043889768,1125.218504233949,786.9469812601787,1127.4947301482423,943.6154007417023,1104.0745119139629,1212.5341992923677,1176.5272401422053,1275.3432009041671,1367.9214827498843,1262.0818939962905,1286.5534424627615,1311.409197571714,1337.0152686458937,1361.0462574390165,1385.0813840950489,1409.120648986271,1433.1640545749244,1457.2116012340866,1481.2632900336928
乌克兰,1410.1638890722422,1270.7114225399132,1613.6636411010559,1529.024665077872,1468.2325324025016,1341.5920064063675,1896.3549138085486,1757.711039305169,1601.4410000064422,2156.945141291742,1927.414769645139,2312.6598913595435,2368.9495820149923,2164.8489889115235,2465.632533283095,2231.363706216292,2496.9809729149656,2577.7649592809444,2659.464070879816,2747.702185361052,2832.3005489296033,2917.816003631761,3004.26354810575,3091.658500294576,3180.016522864735,3269.3536255925574
加拿大,1700.1178318931657,2150.183662784523,2237.920029586769,2198.924094939482,2093.0440714051774,2067.9459647552253,2296.9421175328366,2090.4022951988622,1959.558183538205,1970.8739623751562,2099.8758506596528,2535.8893596900693,2025.2040143548363,2269.594054538304,2177.488362024211,2104.0088793748396,2212.3271356626724,2223.1247126963235,2233.8905842521553,2237.3982345441536,2245.9119404789617,2254.269180741131,2262.4742293671875,2270.531206131425,2278.444083192278,2286.216692629582
美国,1557.7865825688684,1712.6801790051602,1847.0135916833667,1734.3272743943376,1629.2748247697893,1880.3602860201577,1828.0670998423445,1868.5477976618533,1787.5648566194434,1730.6412018313129,1640.4667396883056,1869.142361147986,1886.8301041998839,1758.7018918975452,1894.3188939597837,1761.9219544550324,1848.9190482267916,1857.1852205339567,1865.2674430094273,1868.9204022102372,1876.2407098379454,1883.4558922572753,1890.5681978414664,1897.579811010846,1904.4928556340642,1911.3093954229462
阿根廷,1417.9109247979738,1337.33264117907,1398.3053854031925,1586.1391501698547,1343.5721630461608,1582.850557239865,1627.3048067302782,1145.328085512219,1462.2451129375331,1748.7126197128096,1633.669194733177,1697.539927144666,1683.2615699169241,1762.7750014947799,1845.1983160700645,2181.7290654774833,1906.4929459598186,1940.0068296639295,1973.0985935701924,2004.2523391064185,2035.412342427691,2066.005173099967,2096.046176929055,2125.550151899829,2154.531367242507,2183.00359922428
