st,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
黑龙江省,129.7,125.69999999999999,143.8,150.9,162.2,175.2,180.7,198.9,214.90000000000003,228.4,240.3,245.0,251.90000000000003,255.3,252.8,251.2,283.862505188612,293.6779469755056,303.4933887624029,313.30883054929654,323.1242723361902,332.93971412308747,342.7551559099811,352.5705976968784,362.38603948377204,372.2014812706693
山东省,433.9,432.7,450.99999999999994,467.6,498.8,500.3,476.3,472.90000000000003,475.30000000000007,473.6,476.30000000000007,472.7,468.1000000000001,463.5,456.5,439.96,469.1399999966185,469.4839705848524,469.8279411730863,470.1719117613203,470.5158823495542,470.8598529377881,471.2038235260221,471.547794114256,471.8917647024899,472.2357352907238
河南省,468.8,467.9,493.19999999999993,518.1,504.4,569.7,601.7000000000002,628.7,655.2,673.7,684.4,696.3999999999999,705.7999999999998,716.0999999999999,715.0,706.7,776.3874999972832,795.6257352914399,814.8639705855967,834.1022058797535,853.3404411739102,872.578676468067,891.8169117622238,911.0551470563805,930.2933823505373,949.531617644694
湖北省,257.0,270.30000000000007,281.9,285.8,292.5,299.90000000000003,327.70000000000005,340.3,350.8,354.9,354.9,351.9,348.3,333.8999999999999,328.0,317.93,363.2699999963879,368.5368382316901,373.80367646699415,379.07051470229817,384.3373529376004,389.6041911729044,394.8710294082084,400.1378676435106,405.40470587881464,410.67154411411684
四川省,209.6,208.4,214.7,220.9,228.19999999999996,238.19999999999996,242.8,248.00000000000003,248.0,251.20000000000002,253.00000000000003,251.09999999999997,250.20000000000002,249.8,249.00000000000003,241.95,261.8450000856865,264.67198538988487,267.49897069408235,270.32595599828073,273.1529413024791,275.9799266066775,278.8069119108759,281.6338972150743,284.4608825192727,287.28786782347106
