st,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
黑龙江省,0.3812179016874541,0.38140627937582255,0.3816049481886096,0.38199390328391297,0.38356282803334363,0.384457192336833,0.3826745524002393,0.38254555174410837,0.3829443049194859,0.38337548371370234,0.38339951275517353,0.38537177744008105,0.38340335491765665,0.3822327809031474,0.3805423921646221,0.3793940261475332,0.37809354346720897,0.3812363524489836,0.3811842292548583,0.3811367452193013,0.3810933073767917,0.38105341968733897,0.3810166640098216,0.38098268538801006,0.38095118055019833,0.38092188883256367
山东省,0.9061287477954144,0.9103218269520651,0.9152403582526049,0.9139565087579621,0.920408086072119,0.926993562771964,0.9350204032282436,0.9443542096172063,0.9529003065245946,0.9583152001690078,0.9661033843300884,0.9805997549846422,0.9761426764565776,0.9818340917591323,0.9896918510759027,0.9976259150905818,1.0026573747492362,0.9909950997421177,0.9922968156104177,0.9934737937273777,0.9945431439243463,0.9955189836579337,0.9964130647839998,0.9972352491272187,0.9979938737574536,0.9986960347048118
河南省,0.9303961769693232,0.9310873101952277,0.9296587327464407,0.9331411951348495,0.9286254037407047,0.9375755683237571,0.9196411983871791,0.9457911346312567,0.9446273418964248,0.9396402777293186,0.9396904663640115,0.9419822086966702,0.9424428139835997,0.945790455742147,0.9505998825601879,0.954553498735913,0.9582042590524805,0.9505553190575028,0.9509044043097176,0.9512189054913281,0.9515037194312455,0.9517628601551417,0.9519996492460954,0.9522168589845184,0.9524168213902022,0.9526015122812396
湖北省,0.5664676616915423,0.5678503222726188,0.569129116993332,0.5765191146881289,0.5729144103489772,0.5759224978403061,0.570437562940584,0.5715526745160294,0.5721927184118111,0.5740930490978741,0.5768549725189258,0.5817902987351279,0.5807449358362499,0.5833732775299088,0.5868208030180545,0.5893468330038705,0.590947370001201,0.585927029703024,0.5861738000308374,0.5863947866640176,0.5865938299707704,0.5867740437192867,0.5869379791581382,0.5870877465550266,0.5872251065290053,0.5873515395864153
四川省,0.8022088285229202,0.8052378076400423,0.808059531348955,0.8151324503311259,0.8240318604210128,0.8192344683161406,0.8194323058915334,0.816153180690928,0.8113247096591445,0.8046026097271648,0.8062955957849233,0.8132147038885806,0.8123622181735369,0.8172154996600951,0.8233017523685724,0.828205863250543,0.8321528956897081,0.822074885600088,0.8222917152643594,0.8224862634740416,0.8226617968586994,0.8228209732493635,0.8229659771910167,0.823098620801629,0.823220419893117,0.823332652155584
