st,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
黑龙江省,330.15,340.25,405.1,472.40000000000003,522.0,650.7,738.0,772.9000000000001,876.3000000000001,1150.2,1478.1000000000001,1823.2999999999997,1925.0,1852.8,1823.6000000000004,2148.4,2208.5938930651755,2341.1549393081805,2473.7159855511272,2606.277031794132,2738.838078037079,2871.399124280084,3003.9601705230307,3136.5212167659774,3269.0822630089824,3401.643309251929
山东省,832.4,1000.99,1070.8000000000002,1155.4,1261.0,1502.1000000000001,1697.2999999999997,1883.4,2146.6,2255.0,2329.9,2648.9999999999995,2799.2999999999997,2900.8,2834.9,2755.7,3234.746080145531,3386.814810162643,3538.883540179755,3690.952270196809,3843.021000213921,3995.089730231033,4147.158460248087,4299.227190265199,4451.295920282311,4603.364650299365
河南省,816.16,673.54,956.9,1068.9,1188.0,1337.4999999999998,1514.6,1670.2,2080.8,2108.8,2315.8,2458.1,2627.4,2704.7,2693.5,2665.7,3095.4160774805932,3247.2253218900296,3399.034566299466,3550.8438107089605,3702.653055118397,3854.4622995278332,4006.2715439372696,4158.080788346706,4309.8900327562005,4461.699277165637
湖北省,417.11,451.46,564.0,571.9,624.9999999999999,720.4000000000001,877.8,938.3,1244.7,1495.9,1594.8000000000002,1710.3,1773.0,1795.5000000000002,1942.2,1962.1,2180.7877688531007,2299.965226953471,2419.142685053841,2538.320143154211,2657.4976012545812,2776.6750593549514,2895.8525174553215,3015.0299755556916,3134.2074336560618,3253.384891756432
四川省,593.16,590.03,727.5999999999999,758.7000000000002,782.6999999999999,954.5,1162.3,1267.9,1436.7,1700.8000000000004,1915.5,2011.4999999999998,2130.4000000000005,2296.7,2390.7,2813.1,2739.5695129494416,2888.8402644728776,3038.1110159963137,3187.3817675197497,3336.6525190431857,3485.92327056668,3635.194022090116,3784.464773613552,3933.735525136988,4083.006276660424
