st,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
黑龙江省,2941.2,2512.0,3000.9999999999995,3092.0,3346.4,3462.9,4225.0,4353.000000000001,5012.8,5570.6,5761.5,6004.099999999999,6242.200000000001,6324.000000000001,7416.1,7410.3,7673.294993121759,8012.248051071772,8351.201109021786,8690.154166971799,9029.107224921812,9368.060282871826,9707.013340821723,10045.966398771736,10384.91945672175,10723.872514671762
山东省,3292.7,3436.0,3516.9999999999995,3917.0,4048.8,4148.8,4260.5,4316.3,4335.7,4426.300000000001,4511.400000000001,4528.200000000001,4596.6,4712.700000000001,5332.3,5374.3,5307.544990206836,5426.413518466463,5545.282046726061,5664.150574985688,5783.019103245315,5901.887631504942,6020.75615976454,6139.624688024167,6258.493216283794,6377.361744543392
河南省,4210.0,3570.0,4260.0,4582.000000000001,5010.0,5245.2,5365.5,5389.0,5437.1,5542.500000000001,5638.6,5713.700000000001,5772.3,6067.1,6498.0,6524.2,6687.072535314772,6850.072245351796,7013.0719553888775,7176.071665425901,7339.071375462983,7502.071085500007,7665.070795537089,7828.070505574113,7991.070215611195,8154.0699256482185
湖北省,2047.0,1921.0,2100.0,2177.0,2210.1,2185.4,2227.2,2309.1000000000004,2315.8000000000006,2388.5000000000005,2441.8,2501.3,2584.2,2703.2999999999997,2796.4,2846.1,2828.1225000017585,2883.2383823548153,2938.354264707872,2993.470147060929,3048.5860294139857,3103.7019117670425,3158.8177941200993,3213.933676473156,3269.049558826213,3324.1654411792697
四川省,3132.4,3054.0,3147.0,3211.0,2893.3999999999996,3027.0,3140.0,3194.6,3222.8999999999996,3291.6000000000004,3315.0000000000005,3387.1,3374.9,3442.8,3469.9,3488.9,3497.807500003226,3528.487058826817,3559.1666176504077,3589.8461764739986,3620.5257352975896,3651.2052941211805,3681.8848529447787,3712.5644117683696,3743.2439705919605,3773.9235294155515
