st,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
黑龙江省,11773.0,11773.0,11773.0,11773.0,11773.0,11838.37,11830.099999999999,11830.100000000002,11830.1,11830.100000000002,11830.100000000002,11830.100000000002,15864.099999999999,15854.1,15850.0,14727.219601858116,14991.020686612523,15254.82177136693,15518.622856121336,15782.423940875859,16046.225025630265,16310.026110384671,16573.827195139078,16837.628279893484,17101.429364648007,17365.230449402414
山东省,7689.3,7689.3,7689.3,7689.3,7689.3,7507.0599999999995,7515.3,7515.300000000001,7515.3,7515.3,7515.300000000001,7515.299999999999,7633.500000000001,7611.0,7607.0,7520.940571440573,7511.917642869124,7502.894714297672,7493.871785726224,7484.848857154771,7475.825928583323,7466.803000011871,7457.780071440422,7448.75714286897,7439.734214297521,7430.711285726069
河南省,8110.3,8110.3,8110.3,8110.299999999999,8110.300000000001,7926.03,7926.4,7926.4,7926.4,7926.400000000001,7926.400000000001,7926.4,8140.700000000001,8105.9000000000015,8111.0,7993.20504763208,7989.076261917784,7984.947476203486,7980.81869048919,7976.689904774894,7972.561119060598,7968.4323333463,7964.303547632004,7960.174761917708,7956.04597620341,7951.917190489114
湖北省,4949.5,4949.5,4949.5,4949.5,4949.5,4663.36,4664.1,4664.1,4664.1,4664.100000000001,4664.1,4664.1,5281.8,5255.0,5245.6,4980.549142863605,4993.302285720776,5006.0554285779435,5018.808571435115,5031.561714292282,5044.314857149453,5057.06800000662,5069.8211428637915,5082.574285720959,5095.32742857813,5108.080571435297
四川省,9169.1,9169.1,9169.1,9169.1,9169.1,5950.12,5947.4,5947.400000000001,5947.399999999998,5947.4,5947.4,5947.399999999999,6734.799999999999,6731.4,6733.0,5281.250533480896,5044.0800168327405,4806.909500184585,4569.73898353643,4332.568466888275,4095.39795024012,3858.2274335919647,3621.0569169438095,3383.8864002956543,3146.715883647499,2909.545366999402
