province,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
黑龙江省,0.0,410890.0,0.0,0.0,0.0,0.0,0.0,636650.0,0.0,0.0,800950.0,897728.0,0.0,0.0,0.0,0.0,0.0
山东省,0.0,7509130.0,0.0,0.0,0.0,0.0,0.0,14101180.0,0.0,0.0,15022992.0,15205294.0,0.0,0.0,0.0,0.0,0.0
河南省,0.0,431830.0,0.0,0.0,0.0,0.0,0.0,738210.0,0.0,0.0,1009789.0,1383139.0,0.0,0.0,0.0,0.0,0.0
湖北省,0.0,539850.0,0.0,0.0,0.0,0.0,0.0,814530.0,0.0,0.0,1153069.0,1889338.0,0.0,0.0,0.0,0.0,0.0
四川省,0.0,495870.0,0.0,0.0,0.0,0.0,0.0,673980.0,0.0,0.0,795999.0,689607.0,0.0,0.0,0.0,0.0,0.0
