province,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
黑龙江省,2185.3,2111.5,2282.1,2394.1,2648.2,2950.3,3122.5,3405.9,3875.2,4332.7,5070.2,5342.1,5305.2,5530.8,5932.7,0.0,0.0
山东省,4797.4,4760.8,4766.8,4790.0,4818.2,4836.8,4857.5,4896.9,4955.3,4986.9,4657.9,4729.0,4901.9,4964.4,5161.2,0.0,0.0
河南省,4802.4,4792.2,4829.1,4864.1,4918.8,4955.8,4989.2,5033.0,5081.0,5150.4,4922.7,4969.1,5101.1,5210.6,5242.9,0.0,0.0
湖北省,2006.5,2043.7,2071.0,2064.6,2056.6,2095.4,2330.2,2350.1,2379.8,2455.7,2880.0,2791.4,2855.3,2899.1,2905.6,0.0,0.0
四川省,2500.6,2503.2,2503.3,2508.3,2487.0,2499.8,2506.7,2523.7,2553.1,2600.8,2635.0,2616.5,2666.3,2735.1,2813.6,0.0,0.0
