province,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
黑龙江省,11773.0,11773.0,11773.0,11773.0,11773.0,11838.37,11830.1,11830.1,11830.1,11830.1,11830.1,11830.1,15864.1,15854.1,15850.0,0.0,0.0
山东省,7689.3,7689.3,7689.3,7689.3,7689.3,7507.06,7515.3,7515.3,7515.3,7515.3,7515.3,7515.3,7633.5,7611.0,7607.0,0.0,0.0
河南省,8110.3,8110.3,8110.3,8110.3,8110.3,7926.03,7926.4,7926.4,7926.4,7926.4,7926.4,7926.4,8140.7,8105.9,8111.0,0.0,0.0
湖北省,4949.5,4949.5,4949.5,4949.5,4949.5,4663.36,4664.1,4664.1,4664.1,4664.1,4664.1,4664.1,5281.8,5255.0,5245.6,0.0,0.0
四川省,9169.1,9169.1,9169.1,9169.1,9169.1,5950.12,5947.4,5947.4,5947.4,5947.4,5947.4,5947.4,6734.8,6731.4,6733.0,0.0,0.0
