country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
黑龙江省,3637.2,4057.4,4750.6,5513.7,6211.8,7104.0,8314.37,8587.0,10368.6,12582.0,13691.58,14454.91,15039.38,15083.67,15386.09,15902.68,16361.62
山东省,10275.5,12078.15,15021.84,18366.87,21900.19,25776.91,30933.28,33896.65,39169.92,45361.85,50013.24,55230.32,59426.59,63002.33,68024.49,72634.15,76469.67
河南省,6035.48,6867.7,8553.79,10587.42,12362.79,15012.46,18018.53,19480.46,23092.36,26931.03,29599.31,32191.3,34938.24,37002.16,40471.79,44552.83,48055.86
湖北省,4212.82,4757.45,5633.24,6590.19,7617.47,9333.4,11328.89,12961.1,15967.61,19632.26,22250.45,24791.83,27379.22,29550.19,32665.38,35478.09,39366.55
四川省,4725.01,5333.09,6379.63,7385.1,8690.24,10562.39,12601.23,14151.28,17185.48,21026.68,23872.8,26392.07,28536.66,30053.1,32934.54,36980.22,40678.13
