province,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
黑龙江省,2941.2,2512.0,3001.0,3092.0,3346.4,3462.9,4225.0,4353.0,5012.8,5570.6,5761.5,6004.1,6242.2,6324.0,7416.1,7410.3,0.0
山东省,3292.7,3436.0,3517.0,3917.0,4048.8,4148.8,4260.5,4316.3,4335.7,4426.3,4511.4,4528.2,4596.6,4712.7,5332.3,5374.3,0.0
河南省,4210.0,3570.0,4260.0,4582.0,5010.0,5245.2,5365.5,5389.0,5437.1,5542.5,5638.6,5713.7,5772.3,6067.1,6498.0,6524.2,0.0
湖北省,2047.0,1921.0,2100.0,2177.0,2210.1,2185.4,2227.2,2309.1,2315.8,2388.5,2441.8,2501.3,2584.2,2703.3,2796.4,2846.1,0.0
四川省,3132.4,3054.0,3147.0,3211.0,2893.4,3027.0,3140.0,3194.6,3222.9,3291.6,3315.0,3387.1,3374.9,3442.8,3469.9,3488.9,0.0
