st,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
黑龙江省,888621.2856154117,1077302.6618031252,1163265.3392754397,1253342.4166953834,1343910.356970375,1441051.1918650796,1553315.924620925,1664246.2501455685,1777618.9851153165,1903094.2932776224,2089074.1207369785,2329511.532897818,2314184.654066385,2440855.9175060573,2571813.680019915,2700077.081504645,2830257.533392051,2926822.3699588804,3047135.6900677555,3167443.363727784,3287746.1108051874,3408044.5337867076,3528339.1407672106,3648630.3632380217,3768918.5699995337,3889204.078147151
山东省,8930596.656606914,8248873.945099208,9920748.38015532,11446696.623187155,12662720.937834006,13656117.357153397,14410989.594521271,14932087.829328265,15257592.927852124,15451452.057545528,15550087.333993956,15506116.458532196,17510044.70171343,18172423.098398734,18785955.583590012,19388339.34749035,20039061.116491564,21031703.431024566,21759938.48571036,22489088.727038823,23219025.805031706,23949644.298358515,24680856.813209154,25412590.287796505,26144783.17011608,26877383.237333678
河南省,333632.11568092555,463791.0916318419,536613.2974639647,599603.7011364159,660947.9194721766,705694.1363513725,764559.6702949686,780521.1668512963,811864.9891363782,864116.691103516,1074597.472407296,1468328.1565516146,1248496.0658348151,1320399.932493848,1389656.3491464825,1459522.8790477114,1529296.2489141447,1617542.5634033424,1692861.226145984,1768188.893744751,1843524.2834791616,1918866.3452122498,1994214.2109616755,2069567.1570456245,2144924.5752926376,2220285.950879239
湖北省,673422.6934351114,950690.6641162807,1112529.84266406,1227156.195085254,1331381.4677951755,1387407.1705324554,1430994.6960297755,1425117.9923000364,1387206.7865969504,1401921.3706740115,1998888.8974380288,3247455.318707816,2384406.1382630006,2516976.3750544153,2644660.375035872,2775185.342491821,2909145.124379789,3076759.6243606373,3218092.646447723,3359454.428703866,3500840.659604888,3642247.848415724,3783673.138745993,3925114.1707183514,4066568.9775783173,4208035.907106145
四川省,542961.2036713262,615805.6605082607,615973.9471381495,626575.2151919791,649082.3231184804,695907.9635015866,752330.137114733,825800.8618301667,915294.3630242893,1005865.8117170322,987229.7506785962,848001.1449651355,1016496.6341341786,1050248.9571068317,1081979.9538446148,1114834.244450416,1148621.2792572153,1202256.3961939234,1241482.8414187215,1280723.2992203059,1319975.7067177326,1359238.3870089832,1398509.9629311473,1437789.2929535173,1477075.4228492635,1516367.5487927047
